url in NDE	last crawled	indexed in google?
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY180	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2252	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY520	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2173	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY60	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1701	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2251	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY36	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY3	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1844	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY625	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2141	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY587	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2015	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY6	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY396	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY167	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1777	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY18	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1600	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY262	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1764	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY798	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2229	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY165	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2168	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY736	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY478	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1964	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY278	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1723	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY139	3/10/2024	no
